                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                    142,                 1.3632,                 1.4229,                 1.6989,                0.64833,                0.68008,                0.70519,                0.35923,                 1.6233,                 1.4679,                 1.9763,               0.006535,               0.006535,               0.006535
                    143,                 1.3335,                 1.4009,                 1.6889,                0.63242,                0.65828,                0.71146,                0.36001,                 1.6205,                 1.4182,                 1.9691,              0.0065102,              0.0065102,              0.0065102
                    144,                 1.3556,                 1.4032,                 1.7058,                0.63482,                0.65887,                0.69745,                0.35385,                  1.658,                 1.4353,                 2.0141,              0.0064855,              0.0064855,              0.0064855
                    145,                 1.3704,                  1.407,                 1.7118,                0.62483,                0.67124,                0.69985,                0.36468,                 1.6028,                 1.4692,                 1.9362,              0.0064608,              0.0064608,              0.0064608
                    146,                 1.3478,                 1.4225,                 1.7049,                0.61748,                0.67701,                 0.7196,                 0.3767,                 1.5808,                 1.4194,                 1.9262,               0.006436,               0.006436,               0.006436
                    147,                 1.3359,                 1.3941,                 1.6863,                0.58651,                0.68511,                0.70272,                0.35757,                 1.6285,                 1.4552,                 1.9682,              0.0064112,              0.0064112,              0.0064112
                    148,                 1.3611,                 1.4025,                 1.7072,                0.57679,                0.69712,                0.69932,                0.36037,                 1.6189,                 1.4958,                 1.9616,              0.0063865,              0.0063865,              0.0063865
                    149,                 1.3606,                  1.392,                 1.7074,                0.64391,                0.64573,                0.71675,                0.37063,                 1.6186,                  1.417,                 1.9401,              0.0063618,              0.0063618,              0.0063618
                    150,                 1.3421,                 1.3751,                 1.6937,                0.63336,                0.69419,                0.71367,                0.36043,                 1.5965,                 1.4157,                 1.9629,               0.006337,               0.006337,               0.006337
                    151,                 1.3388,                  1.378,                 1.6848,                0.70621,                0.65187,                 0.7297,                 0.3695,                 1.6062,                 1.4045,                 1.9508,              0.0063122,              0.0063122,              0.0063122
                    152,                 1.3274,                 1.4125,                 1.6966,                0.60696,                 0.6635,                0.71292,                0.36425,                 1.5911,                 1.4025,                  1.955,              0.0062875,              0.0062875,              0.0062875
                    153,                 1.3464,                 1.4082,                 1.6976,                0.67697,                0.63921,                 0.7132,                0.37363,                 1.5896,                 1.4175,                 1.9437,              0.0062628,              0.0062628,              0.0062628
                    154,                 1.3377,                 1.3697,                 1.6814,                0.66606,                0.65732,                0.72339,                0.37614,                 1.5842,                 1.4007,                 1.9422,               0.006238,               0.006238,               0.006238
                    155,                  1.347,                 1.3874,                 1.7011,                0.67408,                0.65549,                0.72024,                0.37662,                 1.5576,                 1.4178,                 1.9295,              0.0062132,              0.0062132,              0.0062132
                    156,                 1.3506,                 1.3948,                 1.6959,                0.59272,                0.66976,                0.71693,                0.37186,                 1.5904,                 1.3813,                 1.9038,              0.0061885,              0.0061885,              0.0061885
                    157,                 1.3337,                 1.3693,                 1.6792,                0.60167,                0.67884,                0.71978,                0.36781,                 1.6219,                  1.409,                 1.9546,              0.0061637,              0.0061637,              0.0061637
                    158,                 1.3377,                 1.3782,                 1.6799,                0.65043,                0.68728,                0.74423,                0.38345,                 1.6112,                  1.379,                  1.948,               0.006139,               0.006139,               0.006139
                    159,                 1.3436,                 1.3811,                 1.6856,                0.64579,                0.68273,                0.72469,                0.37417,                 1.5917,                 1.4232,                 1.9311,              0.0061142,              0.0061142,              0.0061142
                    160,                 1.3388,                  1.374,                 1.6838,                0.61724,                0.68024,                0.72488,                0.38161,                  1.576,                 1.4362,                 1.9311,              0.0060895,              0.0060895,              0.0060895
                    161,                 1.3229,                 1.3645,                 1.6629,                0.68705,                0.62524,                0.70752,                 0.3732,                 1.5835,                 1.4181,                 1.9148,              0.0060647,              0.0060647,              0.0060647
                    162,                 1.3206,                 1.3582,                 1.6722,                0.63383,                0.67196,                0.72966,                0.38189,                 1.5861,                 1.3711,                 1.9344,                0.00604,                0.00604,                0.00604
                    163,                 1.3298,                 1.3435,                 1.6733,                0.66309,                0.68261,                0.72463,                0.37545,                 1.5915,                  1.423,                 1.9422,              0.0060152,              0.0060152,              0.0060152
                    164,                 1.3528,                 1.4047,                 1.6954,                0.72206,                0.61528,                0.71789,                0.37909,                 1.5787,                  1.384,                 1.9249,              0.0059905,              0.0059905,              0.0059905
                    165,                  1.332,                 1.3794,                 1.6852,                0.65949,                0.64461,                0.71185,                0.37851,                 1.5723,                 1.3986,                 1.9019,              0.0059658,              0.0059658,              0.0059658
                    166,                 1.3227,                 1.3438,                 1.6782,                0.56159,                0.70456,                0.71351,                0.38404,                  1.553,                  1.411,                 1.9183,               0.005941,               0.005941,               0.005941
                    167,                 1.3169,                 1.3459,                 1.6769,                0.60219,                0.70254,                0.72299,                0.38606,                 1.5516,                 1.3932,                 1.9136,              0.0059163,              0.0059163,              0.0059163
                    168,                 1.3224,                 1.3632,                 1.6763,                0.66727,                0.64907,                 0.7238,                 0.3888,                 1.5701,                 1.3655,                 1.9188,              0.0058915,              0.0058915,              0.0058915
                    169,                 1.3212,                 1.4045,                 1.6776,                 0.6332,                0.66322,                0.71096,                0.37289,                 1.5991,                 1.4268,                 1.9327,              0.0058668,              0.0058668,              0.0058668
                    170,                 1.3356,                 1.3707,                 1.6816,                0.67434,                0.66482,                0.73069,                0.38429,                 1.5753,                 1.3799,                 1.9252,               0.005842,               0.005842,               0.005842
                    171,                 1.3247,                 1.3574,                 1.6605,                0.61984,                0.71231,                0.73449,                0.40265,                 1.5439,                 1.3824,                 1.8936,              0.0058173,              0.0058173,              0.0058173
                    172,                 1.3138,                 1.3455,                 1.6601,                0.65678,                0.67173,                0.72132,                0.38685,                 1.5635,                 1.3782,                 1.8957,              0.0057925,              0.0057925,              0.0057925
                    173,                 1.3237,                 1.3343,                  1.672,                0.61605,                0.71331,                0.72585,                0.38332,                 1.5543,                 1.3773,                 1.9022,              0.0057678,              0.0057678,              0.0057678
                    174,                 1.3183,                 1.3591,                 1.6699,                0.63471,                 0.6989,                0.74241,                0.38761,                 1.5807,                 1.3743,                 1.9244,               0.005743,               0.005743,               0.005743
                    175,                  1.319,                 1.3459,                 1.6714,                 0.7046,                0.64185,                0.73072,                0.38742,                  1.571,                 1.3586,                 1.9193,              0.0057183,              0.0057183,              0.0057183
                    176,                 1.3133,                 1.3442,                 1.6712,                0.71545,                0.65555,                0.73125,                0.39512,                  1.573,                 1.3587,                 1.9038,              0.0056935,              0.0056935,              0.0056935
                    177,                 1.3078,                  1.351,                 1.6611,                0.66336,                0.67927,                0.72595,                0.38456,                 1.5867,                 1.3554,                 1.9094,              0.0056688,              0.0056688,              0.0056688
                    178,                 1.3035,                 1.3404,                 1.6685,                 0.6465,                0.69078,                0.73534,                0.38834,                 1.5877,                 1.3668,                 1.9312,               0.005644,               0.005644,               0.005644
                    179,                 1.3058,                 1.3301,                 1.6644,                0.66042,                0.66109,                0.74072,                0.39396,                 1.5748,                 1.3759,                 1.9386,              0.0056193,              0.0056193,              0.0056193
                    180,                 1.3033,                  1.331,                 1.6675,                 0.6653,                0.66858,                0.72803,                0.38569,                 1.5826,                 1.3634,                 1.9164,              0.0055945,              0.0055945,              0.0055945
                    181,                 1.3176,                 1.3396,                 1.6653,                0.66744,                0.69298,                0.74592,                0.39396,                 1.5708,                 1.3298,                 1.9005,              0.0055698,              0.0055698,              0.0055698
                    182,                 1.3005,                  1.323,                 1.6602,                0.63115,                0.65978,                0.72795,                0.37662,                 1.5915,                  1.377,                 1.9206,               0.005545,               0.005545,               0.005545
                    183,                 1.2997,                 1.3316,                 1.6412,                0.62331,                0.68257,                 0.7358,                0.38758,                 1.5695,                 1.3553,                 1.9027,              0.0055202,              0.0055202,              0.0055202
                    184,                 1.3127,                 1.3336,                 1.6548,                0.65963,                0.67298,                0.72277,                  0.383,                 1.5722,                 1.3668,                 1.9119,              0.0054955,              0.0054955,              0.0054955
                    185,                 1.3131,                  1.323,                 1.6525,                0.64523,                0.65755,                0.72309,                0.37661,                 1.5874,                 1.3604,                  1.926,              0.0054707,              0.0054707,              0.0054707
                    186,                 1.3084,                 1.3468,                  1.669,                0.64123,                0.68316,                0.74565,                0.38718,                 1.5808,                 1.3584,                 1.9048,               0.005446,               0.005446,               0.005446
                    187,                 1.2985,                 1.3185,                 1.6667,                0.63388,                 0.6993,                0.74242,                0.39107,                  1.578,                 1.3684,                 1.9116,              0.0054212,              0.0054212,              0.0054212
                    188,                 1.3216,                 1.3411,                 1.6646,                 0.6525,                0.68079,                0.73896,                0.39126,                 1.5747,                 1.3556,                 1.9214,              0.0053965,              0.0053965,              0.0053965
                    189,                 1.3127,                 1.3227,                 1.6705,                0.62319,                0.70421,                0.73505,                0.38742,                 1.5745,                 1.3628,                 1.9261,              0.0053717,              0.0053717,              0.0053717
                    190,                 1.3095,                 1.3179,                 1.6611,                0.60721,                 0.6953,                0.72785,                0.38457,                 1.5711,                 1.4007,                 1.9203,               0.005347,               0.005347,               0.005347
                    191,                 1.2956,                 1.3161,                 1.6398,                0.64523,                0.68059,                0.72931,                0.39701,                 1.5566,                  1.346,                 1.8992,              0.0053223,              0.0053223,              0.0053223
                    192,                 1.2912,                 1.2958,                 1.6443,                0.67387,                0.68577,                0.74553,                0.39535,                 1.5624,                 1.3427,                 1.9003,              0.0052975,              0.0052975,              0.0052975
                    193,                 1.3188,                 1.3214,                 1.6569,                0.58851,                0.70731,                 0.7116,                0.38632,                 1.5821,                 1.3782,                 1.9094,              0.0052727,              0.0052727,              0.0052727
                    194,                 1.3012,                 1.3123,                 1.6551,                0.66679,                0.67126,                0.72819,                0.39181,                 1.5422,                 1.3577,                 1.8879,               0.005248,               0.005248,               0.005248
                    195,                 1.2947,                 1.3161,                 1.6454,                0.71724,                0.65413,                0.73874,                0.39484,                 1.5593,                 1.3484,                 1.8997,              0.0052233,              0.0052233,              0.0052233
                    196,                 1.2884,                 1.3104,                  1.639,                0.65273,                0.68352,                0.72991,                0.38695,                  1.563,                 1.3531,                 1.9048,              0.0051985,              0.0051985,              0.0051985
                    197,                 1.3085,                 1.2963,                  1.642,                0.68877,                0.65916,                 0.7496,                0.39709,                 1.5606,                 1.3203,                 1.9105,              0.0051737,              0.0051737,              0.0051737
                    198,                 1.2917,                 1.3097,                 1.6371,                0.65681,                0.68524,                0.73995,                0.38837,                 1.5782,                 1.3352,                  1.905,               0.005149,               0.005149,               0.005149
                    199,                 1.2953,                 1.2966,                 1.6477,                0.66254,                0.67731,                0.72027,                0.38558,                 1.6069,                 1.3454,                 1.9292,              0.0051243,              0.0051243,              0.0051243
                    200,                  1.282,                 1.2775,                 1.6393,                0.65609,                0.67247,                0.73441,                0.38865,                  1.609,                 1.3272,                 1.9225,              0.0050995,              0.0050995,              0.0050995
                    201,                 1.2834,                 1.2851,                 1.6432,                0.68676,                0.67004,                0.74731,                0.39382,                 1.5884,                 1.3153,                 1.9038,              0.0050747,              0.0050747,              0.0050747
                    202,                  1.293,                 1.2783,                 1.6518,                0.66844,                 0.7055,                0.74445,                0.39931,                 1.5882,                 1.3229,                 1.9133,                0.00505,                0.00505,                0.00505
                    203,                  1.269,                 1.2871,                 1.6358,                0.64923,                0.67849,                0.73392,                0.40216,                 1.5579,                 1.3479,                 1.8942,              0.0050253,              0.0050253,              0.0050253
                    204,                 1.2807,                 1.2956,                 1.6497,                0.65739,                0.66178,                0.72123,                0.39081,                 1.5583,                 1.3501,                 1.8906,              0.0050005,              0.0050005,              0.0050005
                    205,                 1.2853,                 1.2762,                 1.6403,                0.71413,                0.65218,                0.73024,                0.39224,                 1.5648,                 1.3577,                 1.8905,              0.0049758,              0.0049758,              0.0049758
                    206,                 1.2742,                 1.2709,                 1.6268,                0.65425,                0.68994,                0.73006,                0.39492,                  1.546,                 1.3725,                  1.884,               0.004951,               0.004951,               0.004951
                    207,                 1.2793,                 1.2875,                 1.6293,                0.64685,                0.67949,                 0.7454,                0.39925,                 1.5765,                  1.348,                 1.8987,              0.0049263,              0.0049263,              0.0049263
                    208,                 1.2802,                 1.2779,                 1.6316,                0.68957,                0.66191,                0.74049,                0.40315,                  1.571,                 1.3316,                 1.8985,              0.0049015,              0.0049015,              0.0049015
                    209,                 1.2807,                 1.2685,                 1.6296,                0.70657,                0.65542,                0.74539,                0.39631,                 1.5841,                 1.3371,                 1.9149,              0.0048768,              0.0048768,              0.0048768
                    210,                  1.285,                  1.286,                 1.6386,                0.69988,                  0.671,                0.74794,                0.40141,                 1.5764,                 1.3283,                 1.8883,               0.004852,               0.004852,               0.004852
                    211,                 1.2753,                 1.2688,                 1.6174,                0.73407,                0.63966,                0.74651,                0.40089,                 1.5848,                 1.3348,                  1.892,              0.0048272,              0.0048272,              0.0048272
                    212,                 1.2885,                 1.2822,                 1.6398,                0.71273,                 0.6661,                0.74447,                 0.3959,                 1.5831,                 1.3337,                 1.8937,              0.0048025,              0.0048025,              0.0048025
                    213,                 1.2651,                 1.2677,                 1.6195,                0.66881,                0.68558,                0.74522,                 0.4062,                 1.5753,                 1.3301,                  1.875,              0.0047778,              0.0047778,              0.0047778
                    214,                 1.2829,                 1.2808,                 1.6329,                0.71734,                0.65457,                 0.7411,                0.38599,                 1.6105,                 1.3359,                 1.9142,               0.004753,               0.004753,               0.004753
                    215,                 1.2829,                  1.282,                 1.6278,                 0.7039,                0.65806,                0.74471,                0.38909,                 1.6046,                 1.3491,                 1.9034,              0.0047283,              0.0047283,              0.0047283
                    216,                 1.2749,                 1.2749,                 1.6312,                0.69648,                0.66894,                0.73706,                 0.3914,                 1.5886,                 1.3494,                 1.9034,              0.0047035,              0.0047035,              0.0047035
                    217,                 1.2596,                 1.2788,                  1.626,                0.72036,                0.65632,                0.73987,                0.39631,                  1.597,                 1.3529,                 1.9171,              0.0046788,              0.0046788,              0.0046788
                    218,                 1.2457,                 1.2772,                 1.6144,                 0.7068,                 0.6491,                0.73798,                0.39278,                  1.595,                 1.3395,                 1.9248,               0.004654,               0.004654,               0.004654
                    219,                 1.2811,                 1.2812,                 1.6396,                0.66925,                0.68403,                0.73394,                0.39085,                   1.59,                 1.3366,                 1.9175,              0.0046293,              0.0046293,              0.0046293
                    220,                 1.2668,                 1.2808,                 1.6298,                0.67386,                 0.6673,                0.73579,                0.39529,                 1.5814,                 1.3422,                 1.8943,              0.0046045,              0.0046045,              0.0046045
                    221,                 1.2774,                 1.2809,                 1.6261,                0.73418,                0.64534,                0.74142,                0.39048,                  1.578,                 1.3392,                 1.8925,              0.0045798,              0.0045798,              0.0045798
                    222,                 1.2936,                 1.2961,                 1.6428,                0.64583,                0.68645,                0.74107,                0.39222,                 1.5889,                 1.3243,                 1.8876,               0.004555,               0.004555,               0.004555
                    223,                 1.2663,                 1.2641,                  1.624,                0.70009,                0.65117,                 0.7329,                0.39027,                 1.5694,                 1.3581,                 1.8973,              0.0045303,              0.0045303,              0.0045303
                    224,                 1.2531,                 1.2428,                 1.6172,                0.71966,                0.66445,                0.74591,                0.40425,                 1.5465,                 1.3277,                 1.8884,              0.0045055,              0.0045055,              0.0045055
                    225,                 1.2887,                 1.2496,                 1.6244,                0.67492,                0.69445,                0.74139,                0.39841,                 1.5699,                 1.3352,                 1.8909,              0.0044808,              0.0044808,              0.0044808
                    226,                 1.2657,                 1.2665,                 1.6104,                0.70854,                0.61964,                0.73866,                0.39255,                 1.5676,                 1.3399,                 1.8909,               0.004456,               0.004456,               0.004456
                    227,                 1.2648,                 1.2382,                 1.6146,                0.62883,                0.68687,                0.74056,                0.39299,                 1.5518,                 1.3531,                 1.8809,              0.0044313,              0.0044313,              0.0044313
                    228,                 1.2679,                 1.2581,                 1.6285,                0.73663,                0.61805,                0.73672,                0.38937,                  1.579,                 1.3375,                 1.9019,              0.0044065,              0.0044065,              0.0044065
                    229,                 1.2748,                 1.2659,                 1.6247,                0.70158,                0.66388,                0.74421,                0.40051,                 1.5685,                 1.3315,                 1.8851,              0.0043818,              0.0043818,              0.0043818
                    230,                 1.2678,                 1.2907,                  1.624,                0.72263,                0.67105,                0.75198,                0.40325,                 1.5685,                 1.3108,                 1.8944,               0.004357,               0.004357,               0.004357
                    231,                 1.2499,                 1.2271,                 1.6052,                0.70185,                0.68066,                0.75261,                0.40801,                 1.5528,                  1.305,                 1.8759,              0.0043323,              0.0043323,              0.0043323
                    232,                 1.2573,                 1.2341,                 1.6137,                0.71917,                0.67127,                0.75216,                0.40631,                 1.5425,                   1.33,                 1.8869,              0.0043075,              0.0043075,              0.0043075
                    233,                 1.2538,                 1.2339,                 1.6017,                0.70657,                0.65989,                0.74087,                0.39539,                 1.5594,                 1.3264,                 1.8938,              0.0042828,              0.0042828,              0.0042828
                    234,                 1.2606,                 1.2401,                 1.6119,                0.73358,                0.65478,                0.74768,                0.40204,                 1.5569,                 1.3156,                 1.8871,               0.004258,               0.004258,               0.004258
                    235,                 1.2652,                 1.2542,                  1.613,                0.65598,                0.70258,                 0.7469,                0.40356,                 1.5466,                 1.3215,                 1.8793,              0.0042333,              0.0042333,              0.0042333
                    236,                 1.2582,                 1.2491,                 1.6045,                0.64803,                0.69852,                 0.7434,                0.39849,                 1.5606,                 1.3387,                 1.8871,              0.0042085,              0.0042085,              0.0042085
                    237,                 1.2481,                 1.2331,                 1.5962,                0.67031,                 0.7056,                0.74873,                0.39829,                 1.5654,                 1.3218,                 1.8888,              0.0041837,              0.0041837,              0.0041837
                    238,                 1.2558,                 1.2302,                 1.6121,                0.64864,                0.71675,                0.74769,                0.40021,                 1.5714,                 1.3177,                 1.8804,               0.004159,               0.004159,               0.004159
                    239,                 1.2396,                  1.212,                 1.5931,                0.70713,                 0.6888,                0.76348,                0.39929,                 1.5768,                 1.2986,                 1.8847,              0.0041342,              0.0041342,              0.0041342
                    240,                 1.2438,                 1.2296,                  1.602,                 0.7038,                0.67187,                0.76166,                0.40157,                 1.5703,                 1.3055,                 1.8982,              0.0041095,              0.0041095,              0.0041095
                    241,                 1.2474,                 1.2206,                 1.6034,                0.67938,                0.70876,                 0.7577,                0.40319,                 1.5714,                 1.3071,                  1.906,              0.0040847,              0.0040847,              0.0040847
                    242,                 1.2372,                 1.2118,                  1.597,                 0.6535,                0.71018,                0.74865,                0.39545,                 1.5833,                 1.3087,                 1.9165,                0.00406,                0.00406,                0.00406
                    243,                 1.2204,                 1.2051,                 1.5922,                0.68739,                0.67558,                0.75535,                0.39865,                  1.573,                 1.3067,                 1.9008,              0.0040352,              0.0040352,              0.0040352
                    244,                 1.2411,                 1.2055,                 1.5969,                0.67852,                0.70677,                0.75771,                0.40066,                 1.5623,                 1.2863,                 1.8926,              0.0040105,              0.0040105,              0.0040105
                    245,                  1.229,                 1.2213,                 1.5866,                0.67878,                0.70116,                0.76077,                0.40138,                 1.5692,                 1.2895,                  1.898,              0.0039857,              0.0039857,              0.0039857
                    246,                 1.2508,                 1.2425,                 1.6078,                 0.6619,                0.72247,                0.75599,                0.39625,                 1.5781,                  1.335,                 1.9118,               0.003961,               0.003961,               0.003961
                    247,                 1.2489,                 1.2455,                 1.6151,                0.66544,                0.69279,                0.75064,                0.39888,                 1.5818,                 1.3175,                 1.9171,              0.0039362,              0.0039362,              0.0039362
                    248,                 1.2394,                 1.2168,                 1.5997,                0.70439,                0.67487,                0.75494,                0.40228,                 1.5754,                 1.3152,                 1.8959,              0.0039115,              0.0039115,              0.0039115
                    249,                 1.2467,                 1.2287,                 1.5953,                0.69783,                0.67784,                0.75119,                0.39941,                 1.5693,                 1.3184,                 1.8936,              0.0038867,              0.0038867,              0.0038867
                    250,                 1.2461,                 1.2306,                 1.6063,                0.66273,                0.69528,                0.74884,                0.39797,                 1.5825,                 1.3026,                 1.8889,               0.003862,               0.003862,               0.003862
                    251,                 1.2564,                  1.233,                 1.6107,                0.69571,                0.69335,                0.75426,                0.40372,                 1.5607,                 1.2954,                 1.8781,              0.0038372,              0.0038372,              0.0038372
                    252,                 1.2398,                 1.2165,                 1.5895,                0.70523,                0.69483,                0.75375,                0.40066,                 1.5615,                 1.3119,                 1.8773,              0.0038125,              0.0038125,              0.0038125
                    253,                  1.244,                 1.2398,                 1.6137,                0.70666,                0.68462,                0.75233,                0.40287,                 1.5648,                 1.3197,                 1.8776,              0.0037878,              0.0037878,              0.0037878
                    254,                 1.2299,                 1.2017,                 1.5843,                0.71224,                0.70186,                0.75821,                0.40001,                 1.5792,                 1.3065,                 1.8918,               0.003763,               0.003763,               0.003763
                    255,                 1.2425,                 1.2166,                 1.6006,                0.69736,                0.70288,                0.75447,                0.39597,                 1.5791,                 1.3022,                  1.891,              0.0037383,              0.0037383,              0.0037383
                    256,                 1.2402,                 1.2201,                 1.5987,                0.73493,                0.67681,                0.75272,                0.39501,                 1.5839,                 1.3336,                 1.8923,              0.0037135,              0.0037135,              0.0037135
                    257,                 1.2467,                 1.2148,                 1.6019,                   0.71,                0.69312,                0.75482,                0.40351,                 1.5808,                 1.3043,                 1.8903,              0.0036888,              0.0036888,              0.0036888
                    258,                 1.2373,                 1.2139,                 1.5997,                0.68741,                0.68905,                 0.7502,                 0.4048,                 1.5685,                 1.3049,                 1.8836,               0.003664,               0.003664,               0.003664
                    259,                 1.2395,                 1.2164,                 1.5877,                0.72429,                0.64321,                0.74866,                0.40079,                 1.5603,                 1.3073,                  1.875,              0.0036393,              0.0036393,              0.0036393
                    260,                 1.2346,                 1.2224,                 1.5893,                0.70552,                0.68824,                0.75868,                0.40213,                 1.5699,                 1.3285,                 1.8799,              0.0036145,              0.0036145,              0.0036145
                    261,                 1.2293,                 1.2126,                 1.5922,                0.67394,                0.68084,                0.75824,                0.40146,                 1.5774,                 1.3246,                  1.884,              0.0035898,              0.0035898,              0.0035898
                    262,                 1.2299,                 1.2074,                 1.5938,                0.69859,                0.66935,                0.75911,                0.40115,                 1.5655,                 1.3159,                 1.8841,               0.003565,               0.003565,               0.003565
                    263,                 1.2425,                 1.2067,                 1.5947,                 0.7212,                0.67097,                0.75703,                 0.4037,                 1.5698,                 1.3148,                 1.8818,              0.0035403,              0.0035403,              0.0035403
                    264,                 1.2247,                 1.1969,                 1.5851,                0.74542,                0.65968,                 0.7609,                0.40857,                  1.564,                 1.3097,                 1.8873,              0.0035155,              0.0035155,              0.0035155
                    265,                 1.2231,                 1.2077,                 1.5776,                  0.739,                0.64895,                0.75485,                 0.4074,                 1.5637,                 1.3256,                 1.8846,              0.0034908,              0.0034908,              0.0034908
                    266,                 1.2218,                 1.1907,                 1.5853,                0.75096,                0.65421,                0.75602,                0.40603,                 1.5568,                 1.3076,                 1.8721,               0.003466,               0.003466,               0.003466
                    267,                 1.2248,                    1.2,                 1.5874,                 0.7259,                0.67663,                0.75269,                 0.4109,                 1.5357,                 1.3001,                 1.8618,              0.0034413,              0.0034413,              0.0034413
                    268,                  1.218,                 1.1828,                 1.5733,                0.72683,                0.66342,                0.74403,                0.41151,                 1.5329,                 1.2998,                 1.8649,              0.0034165,              0.0034165,              0.0034165
                    269,                 1.2286,                 1.1809,                 1.5862,                0.70328,                0.68185,                0.75868,                0.40945,                 1.5345,                 1.2954,                 1.8698,              0.0033918,              0.0033918,              0.0033918
                    270,                 1.2025,                 1.1871,                 1.5664,                0.69354,                 0.6946,                0.75869,                0.41182,                 1.5378,                 1.2988,                 1.8709,               0.003367,               0.003367,               0.003367
                    271,                 1.2377,                 1.2222,                 1.5984,                 0.7227,                0.68087,                0.75689,                0.40776,                 1.5394,                 1.3012,                 1.8761,              0.0033423,              0.0033423,              0.0033423
                    272,                 1.2325,                 1.2035,                 1.5884,                0.71176,                0.68667,                0.75795,                0.40731,                 1.5374,                 1.3135,                   1.87,              0.0033175,              0.0033175,              0.0033175
                    273,                 1.2286,                 1.1793,                 1.5839,                0.72357,                0.67807,                0.75638,                0.40994,                 1.5416,                 1.3154,                 1.8658,              0.0032928,              0.0032928,              0.0032928
                    274,                 1.2336,                 1.1934,                 1.5883,                0.72724,                 0.6829,                0.76104,                0.41269,                 1.5504,                 1.2987,                 1.8691,               0.003268,               0.003268,               0.003268
                    275,                 1.2034,                 1.1785,                 1.5704,                0.77248,                0.66804,                0.76551,                0.41405,                 1.5474,                 1.2955,                 1.8581,              0.0032433,              0.0032433,              0.0032433
                    276,                 1.2224,                 1.1926,                 1.5852,                0.76327,                0.67044,                0.75996,                0.41319,                 1.5586,                 1.3037,                 1.8725,              0.0032185,              0.0032185,              0.0032185
                    277,                   1.21,                 1.1897,                 1.5772,                0.75623,                0.66876,                0.75842,                 0.4111,                 1.5515,                 1.2983,                 1.8679,              0.0031938,              0.0031938,              0.0031938
                    278,                 1.2128,                 1.1835,                 1.5716,                0.74994,                0.66913,                0.75848,                0.40881,                 1.5474,                 1.2999,                 1.8702,               0.003169,               0.003169,               0.003169
                    279,                 1.2206,                  1.187,                 1.5885,                0.73576,                0.66153,                0.75482,                0.40742,                 1.5597,                 1.3058,                 1.8827,              0.0031443,              0.0031443,              0.0031443
                    280,                 1.2068,                 1.1667,                 1.5718,                 0.7501,                0.65169,                0.75428,                0.40288,                 1.5809,                 1.2939,                 1.8949,              0.0031195,              0.0031195,              0.0031195
                    281,                 1.2185,                 1.1487,                 1.5744,                0.71767,                 0.6741,                 0.7498,                0.40326,                 1.5691,                 1.2949,                 1.8797,              0.0030948,              0.0030948,              0.0030948
                    282,                 1.2083,                 1.1591,                 1.5693,                0.74602,                 0.6537,                0.75507,                0.40061,                 1.5713,                 1.3146,                 1.8803,                0.00307,                0.00307,                0.00307
                    283,                 1.2171,                 1.1627,                 1.5684,                0.73816,                 0.6698,                0.75171,                0.39974,                 1.5739,                 1.3062,                 1.8848,              0.0030452,              0.0030452,              0.0030452
                    284,                 1.2213,                 1.1761,                 1.5754,                0.74858,                0.66729,                0.75114,                0.40035,                 1.5809,                 1.3074,                 1.8948,              0.0030205,              0.0030205,              0.0030205
                    285,                 1.2115,                 1.1627,                  1.561,                0.74086,                 0.6661,                0.75065,                0.40011,                  1.575,                 1.3033,                 1.8859,              0.0029957,              0.0029957,              0.0029957
                    286,                 1.1991,                 1.1655,                 1.5582,                 0.7435,                0.65897,                0.74861,                0.40573,                 1.5782,                 1.2889,                 1.8907,               0.002971,               0.002971,               0.002971
                    287,                 1.2098,                 1.1714,                 1.5699,                0.74823,                0.67337,                 0.7525,                0.40398,                 1.5954,                 1.2718,                 1.9022,              0.0029462,              0.0029462,              0.0029462
                    288,                 1.2227,                 1.1844,                  1.578,                0.76879,                0.65316,                0.75818,                0.40276,                    1.6,                 1.2751,                 1.9005,              0.0029215,              0.0029215,              0.0029215
                    289,                  1.216,                 1.1826,                 1.5755,                0.79503,                0.65144,                0.76171,                 0.4053,                  1.587,                 1.2796,                 1.8896,              0.0028967,              0.0028967,              0.0028967
                    290,                 1.2022,                 1.1557,                 1.5616,                0.75176,                0.65462,                0.75006,                0.40259,                 1.5907,                 1.2848,                 1.8933,               0.002872,               0.002872,               0.002872
                    291,                 1.1983,                 1.1583,                 1.5667,                0.75046,                0.65624,                0.75246,                0.40696,                 1.5807,                 1.2774,                 1.8835,              0.0028472,              0.0028472,              0.0028472
                    292,                 1.1891,                 1.1635,                 1.5618,                0.75534,                 0.6578,                0.74645,                0.39716,                 1.5807,                 1.2798,                 1.8873,              0.0028225,              0.0028225,              0.0028225
                    293,                 1.1986,                 1.1471,                 1.5549,                 0.7759,                0.65096,                0.76084,                0.40646,                 1.5817,                  1.267,                 1.8867,              0.0027977,              0.0027977,              0.0027977
                    294,                 1.2008,                 1.1625,                 1.5654,                0.77908,                0.65972,                0.76228,                0.40537,                 1.5882,                  1.267,                 1.8892,               0.002773,               0.002773,               0.002773
