                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                 1.5908,                 1.8518,                 1.9393,                0.42556,                0.59658,                0.49599,                0.21936,                 1.8552,                 2.0606,                 2.1502,              0.0091833,              0.0091833,              0.0091833
                     36,                  1.594,                 1.8456,                 1.9327,                0.66237,                0.49174,                0.56653,                0.26463,                 1.7954,                 1.9852,                 2.0936,              0.0091585,              0.0091585,              0.0091585
                     37,                 1.6041,                 1.8545,                 1.9453,                0.52199,                0.54672,                0.54669,                0.26555,                 1.7811,                 2.0924,                 2.0793,              0.0091337,              0.0091337,              0.0091337
                     38,                  1.589,                 1.8207,                 1.9089,                0.42528,                0.62196,                0.53824,                0.26235,                 1.8127,                 1.9619,                 2.0658,               0.009109,               0.009109,               0.009109
                     39,                 1.5874,                 1.8022,                 1.9166,                0.51326,                0.52268,                0.50911,                0.22617,                 1.8823,                 1.9675,                  2.245,              0.0090843,              0.0090843,              0.0090843
                     40,                 1.5634,                 1.8125,                 1.9159,                0.49775,                0.61673,                0.56247,                0.25635,                 1.8583,                 1.9203,                 2.1714,              0.0090595,              0.0090595,              0.0090595
                     41,                 1.5699,                 1.8162,                 1.9065,                0.47687,                0.54667,                0.51954,                0.22901,                   1.88,                 2.0481,                 2.2182,              0.0090347,              0.0090347,              0.0090347
                     42,                 1.5717,                 1.7731,                 1.9027,                 0.7174,                0.51689,                0.62203,                0.28818,                 1.7698,                 1.7686,                  2.098,                0.00901,                0.00901,                0.00901
                     43,                 1.5506,                 1.7833,                 1.8977,                0.67042,                0.50077,                0.57257,                0.26865,                 1.7924,                 1.8304,                  2.067,              0.0089853,              0.0089853,              0.0089853
                     44,                 1.5477,                 1.7772,                  1.888,                0.40527,                0.55553,                0.47134,                0.20576,                 1.9172,                 2.6447,                 2.2563,              0.0089605,              0.0089605,              0.0089605
